#CLAS 2006
#from Bradford
#Phys. Rev. C 73, 035202 (2006)
#
#cos(theta_gK^CM) | d(sigma)/d(cos(theta)) | stat. error 
#
-0.80 0.180 0.033 
-0.70 0.185 0.014 
-0.60 0.185 0.026 
-0.50 0.152 0.021
-0.40 0.102 0.014
-0.30 0.111 0.014
-0.20 0.076 0.013
-0.10 0.106 0.014
0.00 0.149 0.016
0.10 0.165 0.018
0.20 0.196 0.020
0.30 0.369 0.026
0.40 0.464 0.028
0.50 0.683 0.036
0.60 0.830 0.046
0.70 1.347 0.067
0.80 1.508 0.072
0.88 1.645 0.107
